id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2021-05-26T07:40:17;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2021-05-26T11:37:09;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2021-05-25T20:40:33;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2021-05-25T16:10:10;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2021-05-26T10:48:04;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2021-05-25T19:34:16;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2021-05-25T22:04:24;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2021-05-26T12:07:48;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2021-05-26T03:28:27;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2021-05-25T16:08:37;32637;8639
